month,stock_code,top_risk_score,rank_in_topn
2025-01,600803,0.7029575228860604,4
2025-01,601077,0.7029298746066307,5
2025-01,000100,0.5802485212281039,6
2025-01,600482,0.576086259501112,7
2025-01,600066,0.532910060408411,8
2025-01,600600,0.5252241852008115,9
2025-01,688187,0.48563827735678317,10
2025-02,603296,1.4188599826382706,1
2025-02,300251,1.3101747827262842,2
2025-02,002384,0.8912806406552369,3
2025-02,300628,0.8007268163140877,4
2025-02,002625,0.6593322627531213,5
2025-02,000895,0.5082808931698979,6
2025-02,601808,0.45490786632753666,7
2025-02,000157,0.3332763903419543,8
2025-02,000100,0.3311703348431768,9
2025-02,301269,0.2955983289056202,10
2025-03,300014,1.0674879207445778,1
2025-03,603369,1.0339532995499605,2
2025-03,688506,0.977502268342692,3
2025-03,002709,0.8071105965490307,4
2025-03,600588,0.7796708047211626,5
2025-03,688047,0.5999180704363138,6
2025-03,000338,0.5365957898412548,7
2025-03,300316,0.5221215523840452,8
2025-03,000596,0.42210851006479155,9
2025-03,600346,0.3861845182436317,10
2025-04,688506,1.5073903384671805,1
2025-04,600027,1.1735147237573498,2
2025-04,688187,1.0695706208360332,3
2025-04,301269,0.9487455264470597,4
2025-04,600588,0.7414225024779189,5
2025-04,002384,0.6728534870629109,6
2025-04,000651,0.6554861942878165,7
2025-04,603799,0.6535228478378239,8
2025-04,601838,0.521071382007831,9
2025-04,600600,0.5197696515920914,10
2025-05,603986,1.290693684815772,1
2025-05,688506,1.240763683404999,2
2025-05,601077,0.8349467520450455,3
2025-05,301269,0.6601125147518494,4
2025-05,600027,0.5689879725180099,5
2025-05,600926,0.5408126757195619,6
2025-05,002625,0.495372095175809,7
2025-05,600887,0.37122729923219216,8
2025-05,600219,0.3602064468583352,9
2025-05,300418,0.3530411394065503,10
2025-06,688506,1.5410746829103157,1
2025-06,601838,1.1228629536291908,2
2025-06,000661,0.9948651644380128,3
2025-06,600015,0.8842797234048453,4
2025-06,002625,0.8680282553061514,5
2025-06,601336,0.7744068353455423,6
2025-06,000001,0.5908821262470766,7
2025-06,601939,0.5885891169743986,8
2025-06,601077,0.5583838003684889,9
2025-06,301269,0.49709486975334494,10
